text,id,created_at,context_annotations
#NewProfilePic #DecisiveDuck #GoldSpectacular https://t.co/m7R6nPr7oW,1505891957842886663,2022-03-21T12:59:55.000Z,
Gold Spectaculars hit different in VeeFriends Series 2…#WeAreEvolving https://t.co/KRBhjbhZ2o,1505258914086109189,2022-03-19T19:04:26.000Z,
Bad Ass Bulldog is coming to Series 2 with a fresh new look! Plus…🐈‍⬛👀 https://t.co/436lj0Y6go,1505180719101972486,2022-03-19T13:53:42.000Z,
"VeeFriends is blooming🌸 with exciting developments as spring season approaches. Gift Goats received their 3rd gift, @VeeCon Gary Originally Owned (G.O.O.) Burn Sale ended, and Series 1 access tokens are in full swing. Get all caught up below
👇👇👇
https://t.co/UpGAUtAIpP",1504969477078798341,2022-03-18T23:54:18.000Z,
"RT @jasonmorena_: In February @137pm and I got to document @DrifterShoots &amp; @garyvee create the third gift goat drop for @veefriends 

This…",1504940365853384706,2022-03-18T21:58:38.000Z,
".@garyvee: ""Do you like heights??""
@DrifterShoots: ""Oh yeah.""
Where My Goats Go live now at https://t.co/4sWBzL4IhC
https://t.co/I4zdz2QbFE",1504932242514235393,2022-03-18T21:26:21.000Z,
RT @PAExplorer1981: Got dropped this @DrifterShoots nft as @veefriends gift goat gift #3. Central Park in winter. Incoming are custom @VANS…,1504919702447038466,2022-03-18T20:36:31.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
"RT @veecon: The VeeCon 2022 lineup continues to grow stronger and stronger! Let’s give our newest cast a warm welcome:
@lphaCentauriKid  @a…",1504913602985218049,2022-03-18T20:12:17.000Z,
"VeeFriends Series 2 Education happening NOW on the VeeFriends Discord Stage! Come learn about everything Series 2 to get you prepared for the drop in April. Must be in the Discord to attend:
https://t.co/IHu2UQak7F",1504904307275177993,2022-03-18T19:35:21.000Z,"[{'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1168499224297656321', 'name': 'Discord'}}]"
"@DrifterShoots ""It's a blessing"" 💜",1504886933838835716,2022-03-18T18:26:19.000Z,
RT @HouinatoF: Love those @DrifterShoots @garyvee So excited to have those as Gift#3 for @veefriends Gift goat! https://t.co/bw3rFLQ6wj,1504878800278114305,2022-03-18T17:53:59.000Z,
RT @DrifterShoots: BOOM 💥 https://t.co/IjjMzroj9p,1504876733652156420,2022-03-18T17:45:47.000Z,
RT @whatsafawzi1: Thank you @garyvee and @DrifterShoots. Do yourselves a favor and buy a @veefriends gift goat so you can get airdropped NF…,1504874108944846851,2022-03-18T17:35:21.000Z,
RT @markdusa_: @krainak @garyvee @DrifterShoots https://t.co/Rp21mJVnXJ,1504872882194812946,2022-03-18T17:30:28.000Z,
"RT @Corso52: WOW! Gift #3 is INSANE!
@DrifterShoots @garyvee @veefriends https://t.co/0NzCK4KFb3",1504869778481192964,2022-03-18T17:18:08.000Z,
RT @137pm: Today @veefriends Gift Goat token holders have been airdropped their 3rd gifting experience (each gift includes a physical + NFT…,1504869710390824980,2022-03-18T17:17:52.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
"Do you like heights? VeeFriends Gift Goats do. Gift #3 takes Gift Goat to the skies above NYC for a skyscraping collab with @DrifterShoots x @VANS_66 to create 'Where My Goats Go'. Watch the collection come to life 👇- Warning: Your palms might get sweaty.
https://t.co/I4zdz2QbFE",1504866934936027141,2022-03-18T17:06:51.000Z,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10048384068', 'name': 'The Collection'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596807299072', 'name': 'Apparel/Accessories'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10024011481', 'name': 'Vans'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '839543390668673024', 'name': 'Fashion'}}]"
"RT @trueonelove21: Minted. @veefriends @garyvee @zerocoolcards 

#veefriendsBreak https://t.co/XuS4IkVL9F",1504866656232869901,2022-03-18T17:05:44.000Z,
RT @backyardbreaks_: 1/1 HEAT🔥🔥🔥 @garyvee @zerocoolcards @veefriends https://t.co/PliiETBudz,1504866540734320660,2022-03-18T17:05:17.000Z,
"RT @RickyDebler: It’s official…I’m a @veefriends millionaire 💯 

TY @garyvee TY to my very first NFT, Earnest Ermine, for being a major rea…",1504848682893647876,2022-03-18T15:54:19.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
